x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.896552, 0.103448, 0.000000, 0.000000, 0.014074, -0.000000, 0.014074, 24.532244, 8.177415, 1, 0
0.931034, 0.103448, 0.000000, 0.000000, -0.037067, -0.000000, 0.037067, 19.709924, 6.569975, 1, 0
0.965517, 0.103448, 0.000000, 0.000000, -0.019880, -0.000000, 0.019880, 40.723650, 13.574550, 1, 0
1.000000, 0.103448, 0.000000, 0.000000, -0.001793, 0.000000, 0.001793, 48.986392, 16.328797, 1, 0
0.000000, 0.137931, 0.000000, 0.000000, -0.009169, 0.000000, 0.009169, 5.203129, 1.734376, 1, 0
0.034483, 0.137931, 0.000000, 0.000000, 0.010985, -0.000000, 0.010985, 5.163217, 1.721072, 1, 0
0.068966, 0.137931, 0.000000, -0.000000, -0.031020, -0.000000, 0.031020, 6.211687, 2.070562, 1, 0
0.103448, 0.137931, 0.000000, 0.000000, -0.011759, 0.000000, 0.011759, 8.983312, 2.994437, 1, 0
0.137931, 0.137931, 0.000000, -0.000000, -0.016938, -0.000000, 0.016938, 11.993827, 3.997942, 1, 0
0.172414, 0.137931, 0.000000, 0.000000, -0.018794, 0.000000, 0.018794, 15.957246, 5.319082, 1, 0
0.206897, 0.137931, 0.000000, -0.000000, -0.011684, 0.000000, 0.011684, 19.468282, 6.489427, 1, 0
0.241379, 0.137931, 0.000000, -0.000000, -0.002058, -0.000000, 0.002058, 23.304275, 7.768092, 1, 0
0.275862, 0.137931, 0.000000, -0.000000, 0.001437, -0.000000, 0.001437, 25.352552, 8.450851, 1, 0
0.310345, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.344828, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.379310, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.413793, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.448276, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.482759, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.517241, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.551724, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.586207, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
