  ID  j  METAF[j]  F[j]
 1830 12 0.00000 0.00000
 1830 13 0.00000 0.00000
 1830 14 0.00000 0.00000
 1830 15 0.00000 0.00000
 1830 16 0.00000 0.00000
 1830 17 0.00000 0.00000
 1830 18 0.00000 0.00000
 1831  0 3.11447 3.11447
 1831  1 0.65996 0.65996
 1831  2 0.40839 0.40839
 1831  3 0.51908 0.51908
 1831  4 0.51908 0.51908
 1831  5 0.51908 0.51908
 1831  6 0.51908 0.51908
 1831  7 0.32998 0.32998
 1831  8 0.20419 0.20419
 1831  9 0.00000 0.00000
 1831 10 0.00000 0.00000
 1831 11 0.00000 0.00000
 1831 12 0.00000 0.00000
 1831 13 0.00000 0.00000
 1831 14 0.00000 0.00000
 1831 15 0.00000 0.00000
 1831 16 0.00000 0.00000
 1831 17 0.00000 0.00000
 1831 18 0.00000 0.00000
 1832  0 3.11447 3.11447
 1832  1 0.65996 0.65996
 1832  2 0.40839 0.40839
 1832  3 0.51908 0.51908
 1832  4 0.51908 0.51908
 1832  5 0.51908 0.51908
 1832  6 0.51908 0.51908
 1832  7 0.32998 0.32998
 1832  8 0.20419 0.20419
 1832  9 0.00000 0.00000
 1832 10 0.00000 0.00000
 1832 11 0.00000 0.00000
 1832 12 0.00000 0.00000
 1832 13 0.00000 0.00000
 1832 14 0.00000 0.00000
 1832 15 0.00000 0.00000
 1832 16 0.00000 0.00000
 1832 17 0.00000 0.00000
 1832 18 0.00000 0.00000
 1833  0 3.11447 3.11447
 1833  1 0.65996 0.65996
 1833  2 0.40839 0.40839
 1833  3 0.51908 0.51908
 1833  4 0.51908 0.51908
 1833  5 0.51908 0.51908
 1833  6 0.51908 0.51908
 1833  7 0.32998 0.32998
 1833  8 0.20419 0.20419
 1833  9 0.00000 0.00000
 1833 10 0.00000 0.00000
 1833 11 0.00000 0.00000
 1833 12 0.00000 0.00000
 1833 13 0.00000 0.00000
 1833 14 0.00000 0.00000
 1833 15 0.00000 0.00000
 1833 16 0.00000 0.00000
 1833 17 0.00000 0.00000
 1833 18 0.00000 0.00000
 1834  0 3.11447 3.11447
 1834  1 0.65996 0.65996
 1834  2 0.40839 0.40839
 1834  3 0.51908 0.51908
 1834  4 0.51908 0.51908
 1834  5 0.51908 0.51908
 1834  6 0.51908 0.51908
 1834  7 0.32998 0.32998
 1834  8 0.20419 0.20419
 1834  9 0.00000 0.00000
 1834 10 0.00000 0.00000
 1834 11 0.00000 0.00000
 1834 12 0.00000 0.00000
 1834 13 0.00000 0.00000
 1834 14 0.00000 0.00000
 1834 15 0.00000 0.00000
 1834 16 0.00000 0.00000
 1834 17 0.00000 0.00000
 1834 18 0.00000 0.00000
 1835  0 3.11447 3.11447
 1835  1 0.65996 0.65996
 1835  2 0.40839 0.40839
 1835  3 0.51908 0.51908
 1835  4 0.51908 0.51908
 1835  5 0.51908 0.51908
 1835  6 0.51908 0.51908
 1835  7 0.32998 0.32998
 1835  8 0.20419 0.20419
 1835  9 0.00000 0.00000
 1835 10 0.00000 0.00000
 1835 11 0.00000 0.00000
 1835 12 0.00000 0.00000
 1835 13 0.00000 0.00000
 1835 14 0.00000 0.00000
 1835 15 0.00000 0.00000
 1835 16 0.00000 0.00000
 1835 17 0.00000 0.00000
 1835 18 0.00000 0.00000
 1836  0 3.11447 3.11447
 1836  1 0.65996 0.65996
 1836  2 0.40839 0.40839
 1836  3 0.51908 0.51908
 1836  4 0.51908 0.51908
 1836  5 0.51908 0.51908
