"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0.49866,0.41349,-0.017075,0.64802,2.8512,3.7555,0.23307,1.7822,-0.37288,-0.20077,0.61736,7.4848,3.6027,5.5815,0.51345,1.8084,0.2652,1.942,0.041496,0.97624,0.12166,1.0765,-0.16156,31.918,10.639,1,0,0.82759,0.068966,0.068966
0.40512,0.31656,-0.018161,0.51445,3.5362,3.7691,-0.10884,1.7263,-0.35066,-0.061376,0.76512,7.5027,4.4015,5.6112,1.9789,1.794,0.23507,1.9238,0.004128,0.98675,0.08684,1.1399,-0.15999,34.781,11.594,1,0,0.7931,0.068966,0.068966
1.4851,1.1347,0.006982,1.869,-3.8483,2.6721,-0.09376,1.7414,-0.012697,0.95676,-1.0759,0.11449,-1.7168,3.3803,0.74345,0.52159,-0.29109,1.8563,0.070333,0.53241,0.12388,0.91452,0.032141,6.621,2.207,1,0,0.7931,0.034483,0.034483
0.77367,0.80686,-0.041267,1.1186,-1.9671,3.5301,0.010929,3.7198,-0.36346,-0.94181,-0.042528,3.417,-0.54004,5.3154,0.86957,1.6321,0.098729,1.7384,-0.038655,1.5535,0.099517,1.7717,-0.17433,19.689,6.5629,1,0,0.82759,0.10345,0.068966
0.68552,0.6891,-0.030737,0.97249,-0.59298,3.768,-0.065616,3.9001,-0.30214,-0.73861,0.12759,6.1552,0.52774,5.4072,0.71832,1.7271,0.11035,1.8724,-0.075724,1.5333,0.13353,1.7624,-0.12665,25.842,8.6139,1,0,0.82759,0.13793,0.068966
0.57546,0.55383,-0.039551,0.79965,2.2174,3.7748,-0.11317,3.701,-0.16925,-0.57032,0.38433,5.853,1.255,5.7541,1.1441,1.6145,-0.3096,1.7916,-0.21046,1.6121,0.14987,1.7713,-0.07032,29.58,9.86,1,0,0.86207,0.17241,0.068966
0.6164,0.64641,-0.028621,0.89365,-0.11005,3.6541,-0.031537,4.045,-0.3221,-0.62873,0.19324,5.1358,0.96926,5.512,0.69485,1.6712,0.093213,1.7796,-0.070281,1.6429,0.13141,1.8867,-0.13179,26.115,8.7049,1,0,0.82759,0.17241,0.068966
0.61522,0.59814,-0.087318,0.86249,0.39607,3.2239,-0.21692,2.9768,-0.22257,0.98628,0.038619,5.2301,0.91578,4.3892,1.0338,0.78839,-0.33072,2.0705,-0.16404,0.64436,-0.22252,2.1501,-0.17653,23.51,7.8368,1,0,0.82759,0.13793,0.034483
0.49542,0.48695,-0.052374,0.69664,0.90732,3.0854,-0.48248,3.2591,-0.16342,0.92303,0.15791,4.44,1.544,4.3553,1.5515,0.70539,0.30593,2.0389,-0.39483,0.54797,-0.1576,1.9339,-0.132,24.425,8.1418,1,0,0.89655,0.2069,0.034483
0.58678,0.55408,-0.042284,0.80815,2.2346,3.8193,-0.10824,3.6039,-0.16982,-0.57294,0.40245,5.7748,1.1672,5.7908,1.1211,1.6302,-0.32924,1.8092,-0.21565,1.5341,0.14874,1.7242,-0.070691,29.294,9.7646,1,0,0.86207,0.2069,0.068966
