Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 2
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 3
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 4
   ID   |  i |  j |  k ||    x    |    y    |    z
  26281 |26281 |-787553 | 29 || 0.03448 | 0.20690 | 1.00000 
  26282 |26282 |-787583 | 29 || 0.06897 | 0.20690 | 1.00000 
  26283 |26283 |-787613 | 29 || 0.10345 | 0.20690 | 1.00000 
  26284 |26284 |-787643 | 29 || 0.13793 | 0.20690 | 1.00000 
  26285 |26285 |-787673 | 29 || 0.17241 | 0.20690 | 1.00000 
  26286 |26286 |-787703 | 29 || 0.20690 | 0.20690 | 1.00000 
  26287 |26287 |-787733 | 29 || 0.24138 | 0.20690 | 1.00000 
  26288 |26288 |-787763 | 29 || 0.27586 | 0.20690 | 1.00000 
  26289 |26289 |-787793 | 29 || 0.31034 | 0.20690 | 1.00000 
  26290 |26290 |-787823 | 29 || 0.34483 | 0.20690 | 1.00000 
  26291 |26291 |-787853 | 29 || 0.37931 | 0.20690 | 1.00000 
  26292 |26292 |-787883 | 29 || 0.41379 | 0.20690 | 1.00000 
  26293 |26293 |-787913 | 29 || 0.44828 | 0.20690 | 1.00000 
  26294 |26294 |-787943 | 29 || 0.48276 | 0.20690 | 1.00000 
  26295 |26295 |-787973 | 29 || 0.51724 | 0.20690 | 1.00000 
  26296 |26296 |-788003 | 29 || 0.55172 | 0.20690 | 1.00000 
  26297 |26297 |-788033 | 29 || 0.58621 | 0.20690 | 1.00000 
  26298 |26298 |-788063 | 29 || 0.62069 | 0.20690 | 1.00000 
  26299 |26299 |-788093 | 29 || 0.65517 | 0.20690 | 1.00000 
  26300 |26300 |-788123 | 29 || 0.68966 | 0.20690 | 1.00000 
  26301 |26301 |-788153 | 29 || 0.72414 | 0.20690 | 1.00000 
  26302 |26302 |-788183 | 29 || 0.75862 | 0.20690 | 1.00000 
  26303 |26303 |-788213 | 29 || 0.79310 | 0.20690 | 1.00000 
  26304 |26304 |-788243 | 29 || 0.82759 | 0.20690 | 1.00000 
  26305 |26305 |-788273 | 29 || 0.86207 | 0.20690 | 1.00000 
  26306 |26306 |-788303 | 29 || 0.89655 | 0.20690 | 1.00000 
  26307 |26307 |-788333 | 29 || 0.93103 | 0.20690 | 1.00000 
  26308 |26308 |-788363 | 29 || 0.96552 | 0.20690 | 1.00000 
  26311 |26311 |-788452 | 29 || 0.03448 | 0.24138 | 1.00000 
  26312 |26312 |-788482 | 29 || 0.06897 | 0.24138 | 1.00000 
  26313 |26313 |-788512 | 29 || 0.10345 | 0.24138 | 1.00000 
  26314 |26314 |-788542 | 29 || 0.13793 | 0.24138 | 1.00000 
  26315 |26315 |-788572 | 29 || 0.17241 | 0.24138 | 1.00000 
  26316 |26316 |-788602 | 29 || 0.20690 | 0.24138 | 1.00000 
  26317 |26317 |-788632 | 29 || 0.24138 | 0.24138 | 1.00000 
  26318 |26318 |-788662 | 29 || 0.27586 | 0.24138 | 1.00000 
  26319 |26319 |-788692 | 29 || 0.31034 | 0.24138 | 1.00000 
  26320 |26320 |-788722 | 29 || 0.34483 | 0.24138 | 1.00000 
  26321 |26321 |-788752 | 29 || 0.37931 | 0.24138 | 1.00000 
  26322 |26322 |-788782 | 29 || 0.41379 | 0.24138 | 1.00000 
  26323 |26323 |-788812 | 29 || 0.44828 | 0.24138 | 1.00000 
  26324 |26324 |-788842 | 29 || 0.48276 | 0.24138 | 1.00000 
  26325 |26325 |-788872 | 29 || 0.51724 | 0.24138 | 1.00000 
  26326 |26326 |-788902 | 29 || 0.55172 | 0.24138 | 1.00000 
  26327 |26327 |-788932 | 29 || 0.58621 | 0.24138 | 1.00000 
  26328 |26328 |-788962 | 29 || 0.62069 | 0.24138 | 1.00000 
  26329 |26329 |-788992 | 29 || 0.65517 | 0.24138 | 1.00000 
  26330 |26330 |-789022 | 29 || 0.68966 | 0.24138 | 1.00000 
  26331 |26331 |-789052 | 29 || 0.72414 | 0.24138 | 1.00000 
  26332 |26332 |-789082 | 29 || 0.75862 | 0.24138 | 1.00000 
  26333 |26333 |-789112 | 29 || 0.79310 | 0.24138 | 1.00000 
  26334 |26334 |-789142 | 29 || 0.82759 | 0.24138 | 1.00000 
  26335 |26335 |-789172 | 29 || 0.86207 | 0.24138 | 1.00000 
  26336 |26336 |-789202 | 29 || 0.89655 | 0.24138 | 1.00000 
  26337 |26337 |-789232 | 29 || 0.93103 | 0.24138 | 1.00000 
  26338 |26338 |-789262 | 29 || 0.96552 | 0.24138 | 1.00000 
  26341 |26341 |-789351 | 29 || 0.03448 | 0.27586 | 1.00000 
  26342 |26342 |-789381 | 29 || 0.06897 | 0.27586 | 1.00000 
  26343 |26343 |-789411 | 29 || 0.10345 | 0.27586 | 1.00000 
  26344 |26344 |-789441 | 29 || 0.13793 | 0.27586 | 1.00000 
  26345 |26345 |-789471 | 29 || 0.17241 | 0.27586 | 1.00000 
  26346 |26346 |-789501 | 29 || 0.20690 | 0.27586 | 1.00000 
  26347 |26347 |-789531 | 29 || 0.24138 | 0.27586 | 1.00000 
  26348 |26348 |-789561 | 29 || 0.27586 | 0.27586 | 1.00000 
  26349 |26349 |-789591 | 29 || 0.31034 | 0.27586 | 1.00000 
  26350 |26350 |-789621 | 29 || 0.34483 | 0.27586 | 1.00000 
  26351 |26351 |-789651 | 29 || 0.37931 | 0.27586 | 1.00000 
  26352 |26352 |-789681 | 29 || 0.41379 | 0.27586 | 1.00000 
  26353 |26353 |-789711 | 29 || 0.44828 | 0.27586 | 1.00000 
  26354 |26354 |-789741 | 29 || 0.48276 | 0.27586 | 1.00000 
  26355 |26355 |-789771 | 29 || 0.51724 | 0.27586 | 1.00000 
  26356 |26356 |-789801 | 29 || 0.55172 | 0.27586 | 1.00000 
  26357 |26357 |-789831 | 29 || 0.58621 | 0.27586 | 1.00000 
  26358 |26358 |-789861 | 29 || 0.62069 | 0.27586 | 1.00000 
  26359 |26359 |-789891 | 29 || 0.65517 | 0.27586 | 1.00000 
  26360 |26360 |-789921 | 29 || 0.68966 | 0.27586 | 1.00000 
  26361 |26361 |-789951 | 29 || 0.72414 | 0.27586 | 1.00000 
  26362 |26362 |-789981 | 29 || 0.75862 | 0.27586 | 1.00000 
  26363 |26363 |-790011 | 29 || 0.79310 | 0.27586 | 1.00000 
  26364 |26364 |-790041 | 29 || 0.82759 | 0.27586 | 1.00000 
  26365 |26365 |-790071 | 29 || 0.86207 | 0.27586 | 1.00000 
  26366 |26366 |-790101 | 29 || 0.89655 | 0.27586 | 1.00000 
